date,symbol,ib_close,refinitiv_close
2025-06-06,IVOG,111.57,111.57
2025-06-06,IVOV,93.17,93.17
2025-06-06,IVW,105.55,105.55
2025-06-06,IWB,329.47,329.47
2025-06-06,IWC,125.45,125.452
2025-06-06,IWD,190.76,190.76
2025-06-06,IWF,407.57,407.57
2025-06-06,IWFG,49.53,49.534
2025-06-06,IWL,148.03,148.03
2025-06-06,IWLG,49.48,49.4731
2025-06-06,IWO,280.58,280.58
2025-06-06,IWP,135.79,135.79
2025-06-06,IWR,90.32,90.32
2025-06-06,IWS,129.92,129.92
2025-06-06,IWV,340.96,340.96
2025-06-06,IWX,82.64,82.64
2025-06-06,IWY,236.57,236.57
2025-06-06,IXG,110.16,110.155
2025-06-06,IXN,86.69,86.69
2025-06-06,IXP,108.39,108.3912
2025-06-06,IXUS,76.74,76.74
2025-06-06,IYC,97.02,97.02
2025-06-06,IYF,116.95,116.95
2025-06-06,IYG,82.91,82.91
2025-06-06,IYJ,141.21,141.21
2025-06-06,IYW,163.54,163.54
2025-06-06,IYY,146.25,146.25
2025-06-06,IYZ,28.72,28.72
2025-06-06,DVYE,28.46,28.46
2025-06-06,DWAS,83.68,83.68
2025-06-06,DWM,63.34,63.3474
2025-06-06,DWX,41.92,41.92
2025-06-06,DYNF,52.8,52.8
2025-06-06,DYNI,26.68,26.6755
2025-06-06,EAGL,29.31,29.31
2025-06-06,ECML,30.41,30.41
2025-06-06,EDIV,38.08,38.08
2025-06-06,EDOW,37.39,37.3892
2025-06-06,EDV,64.38,64.38
2025-06-06,EEA,10.05,10.055
2025-06-06,EELV,25.87,25.87
2025-06-06,EEMA,79.69,79.69
2025-06-06,EEMV,61.87,61.865
2025-06-06,EES,50.1,50.1
2025-06-06,EFAD,42.73,42.725
2025-06-06,EFAV,84.85,84.85
2025-06-06,EFG,111.25,111.25
2025-06-06,EFIV,56.85,56.85
2025-06-06,EFV,64.14,64.14
2025-06-06,EGUS,45.1,45.1
2025-06-06,EMGF,50.91,50.91
2025-06-06,EMXC,60.94,60.94
2025-06-06,EPP,49.38,49.38
2025-06-06,EPS,62.28,62.28
2025-06-06,EQAL,48.45,48.45
2025-06-06,EQL,43.14,43.142
2025-06-06,EQRR,58.52,58.515
2025-06-06,JAVA,63.98,63.974
2025-06-06,JCTR,81.15,81.1524
2025-06-06,JGLO,62.59,62.59
2025-06-06,JGRO,82.5,82.5
2025-06-06,JHAC,14.1,14.095
2025-06-06,JHEM,28.55,28.55
2025-06-06,JHMD,38.35,38.35
2025-06-06,JHML,71.59,71.59
2025-06-06,JHMM,60.05,60.05
2025-06-06,JHSC,38.51,38.51
2025-06-06,JIRE,69.92,69.92
2025-06-06,JMEE,58.14,58.14
2025-06-06,JMOM,62.12,62.12
2025-06-06,JOET,39.93,39.9316
2025-06-06,JPEM,56.1,56.1025
2025-06-06,JPME,102.69,102.6947
2025-06-06,JPSE,44.93,44.9295
2025-06-06,JPUS,116.8,116.7981
2025-06-06,JQUA,59.67,59.67
2025-06-06,JUST,85.17,85.1774
2025-06-06,JVAL,42.99,42.99
2025-06-06,KIE,59.52,59.52
2025-06-06,KNG,49.19,49.19
2025-06-06,KOMP,52.19,52.19
2025-06-06,KONG,29.61,29.616
2025-06-06,KRMA,39.44,39.44
2025-06-06,KVLE,25.63,25.6289
2025-06-06,LCF,37.28,37.2776
2025-06-06,LCTU,65.29,65.29
2025-06-06,LEAD,70.56,70.5568
2025-06-06,GVUS,49.04,49.04
2025-06-06,GWX,36.23,36.23
2025-06-06,HACK,84.43,84.43
2025-06-06,HAPI,37.01,37.0086
2025-06-06,HDEF,29.0,29.0
2025-06-06,HDMV,35.45,35.4426
2025-06-06,HDUS,58.12,58.1199
2025-06-06,HEAT,27.48,27.4755
2025-06-06,HEDJ,49.94,49.94
2025-06-06,HELO,61.83,61.83
2025-06-06,HERD,39.21,39.21
2025-06-06,HFGO,23.66,23.6564
2025-06-06,HKND,31.95,31.945
2025-06-06,HLAL,51.84,51.84
2025-06-06,HLGE,32.0,31.9928
2025-06-06,HQGO,52.97,52.9683
2025-06-06,HTD,22.79,22.79
2025-06-06,HUSV,40.04,40.04
2025-06-06,IBB,126.96,126.96
2025-06-06,ICOW,33.44,33.44
2025-06-06,IDEV,76.05,76.05
2025-06-06,IDLV,33.13,33.125
2025-06-06,IDV,34.3,34.3
2025-06-06,IEFA,83.42,83.42
2025-06-06,IEMG,58.49,58.49
2025-06-06,IETC,89.25,89.25
2025-06-06,IEUR,66.57,66.57
2025-06-06,IEV,63.98,63.98
2025-06-06,IFRA,48.56,48.56
2025-06-06,IGF,59.61,59.61
2025-06-06,LFEQ,47.73,47.7266
2025-06-06,LGH,51.97,51.97
2025-06-06,LGLV,174.51,174.51
2025-06-06,LGRO,35.55,35.55
2025-06-06,LOPP,29.04,29.0424
2025-06-06,LOWV,73.94,73.94
2025-06-06,LQAI,33.59,33.5936
